Date,Hours,Project,Task,Detail
2024-05-06,2,Main,Planning,of week
2024-05-07,1.5,Main,Meeting,with LJ
2024-05-07,3,Main,Planning,of colony and other misc
2024-05-07,2.5,Main,Reading,
2024-05-08,1,TA,Meeting,with Instructor
2024-05-08,5,Misc,Genotype,GAD67
2024-05-08,2,Main,Coding,data
2024-05-09,3,Misc,Writing,Intro to R 101
2024-05-09,1.5,Misc,Meeting,with Zainab
2024-05-09,1,Misc,Planning,for Zainab meeting
2024-05-09,1,Misc,Writing,Lab note transfer
2024-05-10,4,Misc,Writing,Intro to R 101
2024-05-11,5,Unknown,Unknown,
2024-05-12,5,Unknown,Unknown,
2024-05-13,8,Unknown,Unknown,
2024-05-14,8,Unknown,Unknown,
2024-05-15,9,Unknown,Unknown,
2024-05-16,7,Unknown,Unknown,
2024-05-17,6,Unknown,Unknown,
2024-05-18,4,Unknown,Unknown,
2024-05-19,4,Unknown,Unknown,
2024-05-20,7,Unknown,Unknown,
2024-05-21,5,Unknown,Unknown,
2024-05-22,6,Unknown,Unknown,
2024-05-23,0,Unknown,Unknown,
2024-05-24,0,Unknown,Unknown,
2024-05-25,0,Unknown,Unknown,
2024-05-26,2,Unknown,Unknown,
2024-05-27,6,Unknown,Unknown,
2024-05-27,2,Misc,Meeting,with Jennet
2024-05-27,1,Main,Meeting,with LJ
2024-05-28,13,Main,Surgery,"n=10, vlPAG"
2024-05-29,12,Unknown,Unknown,
2024-05-30,10,Unknown,Unknown,
2024-05-30,2,Misc,Meeting,Brown Bag
2024-05-31,11,Unknown,Unknown,
2024-06-01,2,Social Approach,Coding,
2024-06-02,2,Social Approach,Coding,
2024-06-03,3,Main,IHC,
2024-06-03,2,Social Approach,Misc,Hunting for data
2024-06-03,3,Main,Behaviour,olfactory
2024-06-03,2,Unknown,Unknown,
2024-06-04,3,Main,Behaviour,olfactory
2024-06-04,1,Main,Meeting,with LJ
2024-06-04,1,Main,Meeting,with Zainab
2024-06-05,1,Misc,Planning,Whiteboard Doodle
2024-06-05,1,Misc,Planning,of next week
2024-06-05,3,Main,IHC,Mounting
2024-06-05,2,Main,Behaviour,
2024-06-05,1,Main,Behaviour,PFA Making
2024-06-06,9,Main,Unknown,
2024-06-06,1,External,Meeting,with Ashley
2024-06-07,2,Social Approach,Meeting,with Jennet
2024-06-07,4,Main,Unknown,
2024-06-08,6,Unknown,Unknown,
2024-06-08,4,TA,Marking,
2024-06-09,4,Social Approach,Coding,
2024-06-10,6,Main,Unknown,
2024-06-10,3,Social Approach,Meeting,with Zainab
2024-06-10,1,Main,Meeting,with LJ
2024-06-11,9,Unknown,Unknown,
2024-06-12,6,Unknown,Unknown,
2024-06-13,6,Unknown,Unknown,
2024-06-14,6,Unknown,Unknown,
2024-06-14,2,Misc,Meeting,Lab Meeting
2024-06-15,10,Unknown,Unknown,
2024-06-16,7,Unknown,Unknown,
2024-06-17,4,Unknown,Unknown,
2024-06-17,2,Main,Behaviour,Social Reunion
2024-06-17,5,Misc,Genotype,
2024-06-18,6,Main,Surgery,"failed, PVN"
2024-06-18,1.5,Main,Behaviour,Social Reunion
2024-06-18,2.5,Unknown,Unknown,
2024-06-19,3,Main,Behaviour,Social Reunion
2024-06-19,8,Main,Unknown,
2024-06-19,1,TA,Meeting,Office Hours
2024-06-20,6,Main,Behaviour,Social Reunion
2024-06-21,5,Misc,Meeting,with Zahra
2024-06-21,2,Misc,Meeting,Lab Meeting
2024-06-22,11,Social Approach,Coding,SAP Test
2024-06-22,2,Misc,Notes,Fatama Presentation
2024-06-23,10,Social Approach,Coding,SAP Test
2024-06-24,8,Social Approach,Coding,SAP Test
2024-06-25,10,Social Approach,Coding,SAP Test
2024-06-26,3,Social Approach,Coding,SAP Test
2024-06-26,2.5,Social Approach,Meeting,with LJ
2024-06-26,4,Social Approach,Behaviour,SAP Test - Males
2024-06-27,5,Social Approach,Behaviour,SAP Test - Males
2024-06-28,2,Misc,Planning,
2024-06-29,4,Misc,Coding,Dashboard Making
2024-06-30,2,Misc,Coding,Dashboard Making
2024-07-01,1.5,Misc,Reading,Journal Club
2024-07-01,4,Misc,Planning,Journal Club
2024-07-02,1.5,Misc,Meeting,Journal Club
2024-07-02,1,Misc,Notes,Lab note transfer
2024-07-02,1,Social Approach,Behaviour,Habituation
2024-07-02,0.5,Main,Behaviour,Shave mice
2024-07-02,2,Social Approach,Coding,
2024-07-02,1.5,Misc,Coding,Dashboard Making
2024-07-02,0.5,Main,Planning,Surgery Planning
2024-07-02,1,Misc,Planning,Planning out week
2024-07-02,5,Main,Surgery,vlPAG Injection
2024-07-03,2.5,Social Approach,Behaviour,Habituation
2024-07-03,1,Main,Behaviour,Habituation
